name;price;expiration
Chocolate - Feathers #(3565254187582832);$44.16;12/17/2022
Onions - Dried, Chopped #(490328050996579549);$68.99;12/14/2022
"Country Roll #(,./;'[]\-=)";$117.34;2/8/2023
;$75.33;12/11/2022
Artichoke - Fresh #(3559656741018731);$165.45;12/16/2022
Wine - Peller Estates Late #(675957755261558358);$21.89;12/3/2022
Cookies - Assorted #(4026615898165177);$5.92;1/18/2023
Bandage - Fexible 1x3 #(3553145069710778);$44.14;2/23/2023
Salmon Steak - Cohoe 8 Oz #(374622704077923);$137.73;2/28/2023
Creme De Menth - White #(3536985109699693);$58.09;12/2/2022
Durian Fruit #(5341669375112835);$35.78;3/7/2023
Cheese - St. Andre #(3533484377830142);$141.98;2/19/2023
Glaze - Apricot #(56022255155929413);$169.49;2/8/2023
Schnappes - Peach, Walkers #(30363723269227);$140.29;1/22/2023
Cheese - St. Andre #(울란바토르);$85.95;11/24/2022
Banana - Green #(5473754032463795);$94.56;2/12/2023
Pasta - Cheese / Spinach Bauletti #(3587234781985452);;1/4/2023
Savory #();$39.16;1/28/2023
Food Colouring - Red #(4017951930500571);$30.94;1/28/2023
Vol Au Vents #(6399179547003374);$189.96;1/14/2023
Turnip - Wax #(3558481955855921);$141.43;12/29/2022
Coffee Guatemala Dark #(36582138341339);;2/20/2023
Chick Peas - Canned #(3545394140251623);$61.05;2/9/2023
Island Oasis - Cappucino Mix #(50205929093046710);$121.68;1/29/2023
Pasta - Cheese / Spinach Bauletti #(3587234781985452);;1/4/2023
Sprouts - Alfalfa #(5100137000608263);$184.93;3/7/2023
Icecream Bar - Del Monte #(5108751042552719);$88.61;2/10/2023
Sauce - Ranch Dressing #();$123.86;12/21/2022
Crab - Blue, Frozen #(・(￣∀￣)・:*:);$56.02;12/12/2022
Mace Ground #(201708446197571);$10.53;3/11/2023
Quail - Whole, Boneless #(3566530314655594);$110.01;1/17/2023
Potatoes - Idaho 100 Count #(6334283733673876729);$75.22;1/7/2023
Cauliflower #(493618812402790066);$62.75;12/4/2022
Stock - Fish #(6333476109722733);$182.71;12/27/2022
Pastrami #(374288580205739);$32.03;1/13/2023
Turnip - Wax #(3558481955855921);$141.43;12/29/2022
Rice - Jasmine Sented #(test⁠test‫);$58.75;3/1/2023
Plums - Red #(3535368879764909);$114.41;3/12/2023
Tea Peppermint #(3543095838894770);$173.01;2/16/2023
Ezy Change Mophandle #(3536628082193686);$55.59;12/1/2022
Nut - Pecan, Halves #(3584642598030291);$68.96;12/8/2022
Wine - Alsace Gewurztraminer #(3534762144984097);$169.21;1/11/2023
Plate Pie Foil #(1);$62.39;12/5/2022
Cheese - Brie Roitelet #();$188.37;1/15/2023
Pie Box - Cello Window 2.5 #(3535635042704610);$181.38;11/30/2022
Quail - Whole, Boneless #(3566530314655594);$110.01;1/17/2023
Pasta - Bauletti, Chicken White #(3530203798552686);$43.74;3/16/2023
;;1/16/2023
Soup Campbells Split Pea And Ham #(5112343828668085);;11/27/2022
Wine - Magnotta - Bel Paese White #(3579366406370676);$67.75;1/30/2023
Plate - Foam, Bread And Butter #(3581110958040121);$39.74;2/21/2023
Milk 2% 500 Ml #(3555501475860169);$156.98;1/21/2023
Food Colouring - Red #(3566917192602717);$96.04;12/12/2022
Oil - Margarine #();$112.71;12/23/2022
Grand Marnier #(6382774967471322);$104.07;3/14/2023
Bar Nature Valley #(3556288378017894);$12.00;1/26/2023
Coffee Swiss Choc Almond #(6304490701987482);$144.57;1/2/2023
Artichoke - Fresh #(3532413238812461);$0.84;3/12/2023
Artichoke - Fresh #(3532413238812461);$0.84;3/12/2023
Wine - Red Oakridge Merlot #(3566162296070996);$174.54;1/16/2023
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Lettuce - Radicchio #(1E+02);$189.36;3/9/2023
Steampan Lid #(5602240065812219);$80.47;11/28/2022
Soup - Verve - Chipotle Chicken #(3558497903902839);$146.32;12/17/2022
Crush - Orange, 355ml #(6304379793936186);$24.58;11/26/2022
Muffin Mix - Morning Glory #(4917312655515610);$53.26;1/20/2023
Cafe Royale #(3563203112373017);$21.22;1/16/2023
Yogurt - Cherry, 175 Gr #(5602243677969815);$196.85;2/1/2023
Veal - Leg #(3551607192632684);$186.02;1/29/2023
Milk - Buttermilk #(3550208634010117);$162.80;12/17/2022
Schnappes - Peach, Walkers #(3566220262433372);$153.36;12/2/2022
Chicken - Ground #(4175006803922101);$197.01;11/30/2022
Soup - Campbells - Chicken Noodle #(30085866711893);$176.28;11/29/2022
Nescafe - Frothy French Vanilla #(3568219822268250);$70.50;11/23/2022
Soup - Chicken And Wild Rice #();$185.75;3/6/2023
Muffin Mix - Morning Glory #(4041591821533);$160.90;12/25/2022
Vodka - Lemon, Absolut #(5018952792691270919);$91.13;12/27/2022
Nori Sea Weed - Gold Label #(3562782865224767);$172.74;1/15/2023
"Country Roll #(,./;'[]\-=)";$117.34;2/8/2023
Pork - Bacon, Sliced #(3588068246931852);$110.34;12/13/2022
Muffin Chocolate Individual Wrap #(3551850836911037);;2/12/2023
Flax Seed #(œ∑´®†¥¨ˆøπ“‘);$122.69;3/16/2023
Pepper - Red Thai #();$185.15;12/16/2022
Appetizer - Shrimp Puff #(5602227667292072);$10.56;3/8/2023
Sugar - Palm #(67618319342455109);$85.67;2/7/2023
Fish - Soup Base, Bouillon #(3572016901803385);$192.29;12/1/2022
Cheese - Romano, Grated #();$5.10;12/6/2022
Sponge Cake Mix - Vanilla #(3589745983319008);$198.28;3/8/2023
Extract - Rum #(3530505537751225);$5.07;1/8/2023
Persimmons #(5108752173094661);$48.89;1/18/2023
Creme De Menth - White #(3536985109699693);$58.09;12/2/2022
Crush - Orange, 355ml #(3570481785868460);$157.24;1/21/2023
;$169.91;12/21/2022
Ocean Spray - Kiwi Strawberry #();$159.31;12/23/2022
Mikes Hard Lemonade #(3564029387988158);$83.30;2/27/2023
Pineapple - Canned, Rings #(56022543165728226);$183.86;1/2/2023
Sprouts - Bean #(3542734829996027);$156.99;1/22/2023
Sauce - Roasted Red Pepper #(3539765788931626);$33.18;2/17/2023
Bar Nature Valley #(3556288378017894);$12.00;1/26/2023
Crush - Orange, 355ml #(3570481785868460);$157.24;1/21/2023
Cafe Royale #(3563203112373017);$21.22;1/16/2023
Cookies - Englishbay Oatmeal #(3569994714384170);$139.71;1/24/2023
Yogurt - Raspberry, 175 Gr #(4936246576476428);$123.18;2/22/2023
Lotus Root #(3584232312870022);$47.41;1/12/2023
Cheese - Romano, Grated #();$5.10;12/6/2022
Wine - White, Colubia Cresh #(3572270474512358);$126.90;11/23/2022
Wine - Zinfandel Rosenblum #(6759437723167564108);$157.05;2/19/2023
Cake - Lemon Chiffon #(3540279638558545);$20.53;2/10/2023
"Lemonade - Mandarin, 591 Ml #(1;DROP TABLE users)";$172.75;1/21/2023
"Cake - Sheet Strawberry #(1'; DROP TABLE users--)";$121.90;2/26/2023
Chevril #(3543694531857751);$46.22;12/3/2022
Lobster - Live #(3542069298527254);$156.95;1/2/2023
Plate - Foam, Bread And Butter #(3581110958040121);$39.74;2/21/2023
Food Colouring - Blue #(5602235074660351305);$155.76;1/27/2023
Mints - Striped Red #(4041593643752972);$74.17;12/22/2022
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Cups 10oz Trans #(374622631176475);$44.72;12/29/2022
Puree - Mocha #(3574666213456393);$63.85;1/22/2023
Extract - Almond #(3545290074955082);$50.43;12/19/2022
Pastry - Cherry Danish - Mini #(﻿);$127.95;1/16/2023
Bread - Malt #(337941482222923);$153.04;12/25/2022
Wine - Maipo Valle Cabernet #(5602243486427716);$150.84;12/17/2022
Kale - Red #(3566923651508528);$108.80;1/14/2023
Trout - Rainbow, Frozen #(67610692805765893);$94.67;3/1/2023
Wine - Magnotta - Bel Paese White #(3566443546465180);$61.23;3/10/2023
Cauliflower #(493618812402790066);$62.75;12/4/2022
Sobe - Berry Energy #(564182708530428419);$73.14;1/25/2023
Pasta - Lasagna Noodle, Frozen #(␣);$13.73;3/4/2023
Cookie - Oatmeal #(3561919131933315);$35.86;12/7/2022
Fond - Neutral #(5602239299309963253);$108.76;1/23/2023
Glycerine #(5602219271390103);$119.29;3/5/2023
Bread - Pain Au Liat X12 #(3568470640872761);$145.41;12/19/2022
Water - Green Tea Refresher #(4041598947771784);$177.19;2/10/2023
;$132.18;3/6/2023
Cake - Lemon Chiffon #(5100178633158391);$51.82;2/15/2023
Wine - Barolo Fontanafredda #(4041377534566893);$34.02;2/9/2023
Nut - Cashews, Whole, Raw #(4041371760277796);$9.45;2/13/2023
Appetizer - Seafood Assortment #(0604583600344324);$87.42;1/2/2023
Cheese - Woolwich Goat, Log #($1.00);$68.84;12/6/2022
Cattail Hearts #(3583450021802976);$197.95;3/11/2023
Cups 10oz Trans #(374622631176475);$44.72;12/29/2022
Pop - Club Soda Can #(3577650223026849);$31.96;1/3/2023
Bacardi Limon #(372160501298394);$70.37;11/28/2022
Nori Sea Weed #(6388968862636237);;12/1/2022
Oven Mitt - 13 Inch #();$70.51;2/19/2023
Soup - Cream Of Potato / Leek #(<img src=x onerror=alert('hi') />);$70.85;1/3/2023
Cheese - St. Andre #(3533484377830142);$141.98;2/19/2023
Glycerine #(5602219271390103);$119.29;3/5/2023
Tomatoes - Roma #(374622397754978);$177.85;11/30/2022
Sauce - Hp #(3572143017395302);$150.07;2/26/2023
Lid Coffeecup 12oz D9542b #(˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥);$35.26;1/6/2023
Scallops - In Shell #(3532118129086972);$5.09;12/24/2022
Chutney Sauce - Mango #(3556614015903263);$104.42;1/25/2023
Beef - Ground Medium #(3557406812631588);$69.06;1/25/2023
Bread - Pumpernickel #(3561510179135663);$183.03;1/30/2023
Wine - White, Chardonnay #(560223842707025044);$151.99;
Salmon - Atlantic, Skin On #(56022502860497412);$22.46;3/1/2023
Crab - Blue, Frozen #(・(￣∀￣)・:*:);$56.02;12/12/2022
Quail - Eggs, Fresh #(5273341072385047);$79.76;3/6/2023
Plate - Foam, Bread And Butter #(3581110958040121);$39.74;2/21/2023
Cheese - Gorgonzola #(3533104367847548);$192.82;12/2/2022
Wine - Two Oceans Cabernet #();$155.02;12/14/2022
Filter - Coffee #(5610621948747962967);$184.94;2/26/2023
Tuna - Bluefin #(`⁄€‹›ﬁﬂ‡°·‚—±);$22.69;3/2/2023
Dried Figs #(NULL);$57.68;3/5/2023
Soup - Knorr, Chicken Gumbo #(3561807082668701);$175.66;12/5/2022
Spring Roll Wrappers #(372301927497307);$24.20;3/13/2023
French Pastry - Mini Chocolate #(201939685816858);$154.27;2/7/2023
Plums - Red #(6382862421958057);$90.89;1/12/2023
Bacardi Limon #(372160501298394);$70.37;11/28/2022
Appetizer - Shrimp Puff #(6331102693858844949);$71.95;3/10/2023
Wine - White, Pelee Island #(3580106802367901);$24.88;11/29/2022
Pectin #(6304524816626492);$48.59;2/26/2023
Containter - 3oz Microwave Rect. #();$164.91;2/1/2023
Bacardi Limon #(372160501298394);$70.37;11/28/2022
Buttons #(30380871009973);$131.31;2/18/2023
Herb Du Provence - Primerba #(56102514302403984);$136.86;3/7/2023
"Bread - Wheat Baguette #(1;DROP TABLE users)";$166.80;11/29/2022
Rice - Sushi #(4844453624537240);$133.27;12/11/2022
Venison - Striploin #(5602222458020873);$154.16;1/17/2023
Macaroons - Homestyle Two Bit #(4905143158288312);$129.79;1/4/2023
Tomato - Green #(4917759028395791);$152.59;12/1/2022
;$80.59;1/27/2023
Chick Peas - Canned #(3545394140251623);$61.05;2/9/2023
Cheese - St. Andre #(울란바토르);$85.95;11/24/2022
Corn - Cream, Canned #(372301774184297);$155.47;12/16/2022
Containter - 3oz Microwave Rect. #();$164.91;2/1/2023
Broom Handle #(3535006099701588);$76.54;1/1/2023
Lamb - Whole, Fresh #(5610135129350026);$188.45;1/27/2023
Cardamon Seed / Pod #(6759000290056952205);$78.44;1/23/2023
Bread - Frozen Basket Variety #(3543289529516046);$45.44;1/9/2023
Bread - Bistro Sour #(3580804972772278);$108.09;12/8/2022
Potatoes - Purple, Organic #(œ∑´®†¥¨ˆøπ“‘);$143.37;3/5/2023
Cornstarch #(3536060412436629);$50.77;1/9/2023
Pomello #(3572363264085931);$86.46;3/15/2023
Wine - Red, Gamay Noir #(371869443938534);$36.76;1/18/2023
Fenngreek Seed #(3537213404383510);$47.30;1/26/2023
Chick Peas - Canned #(3545394140251623);$61.05;2/9/2023
Stock - Veal, White #(3558282830726422);$85.31;3/14/2023
Lamb Leg - Bone - In Nz #(5108754790534921);$136.68;2/26/2023
Mints - Striped Red #(4041593643752972);$74.17;12/22/2022
Sauce - Black Current, Dry Mix #(337941420985565);$130.89;12/16/2022
;;1/6/2023
Mussels - Frozen #(5038095712434062);$77.77;1/15/2023
Yukon Jack #(493625039904177672);$76.43;12/14/2022
Temperature Recording Station #(5602255953776912);$27.84;2/7/2023
Shiro Miso #(3576086047975674);$56.51;2/5/2023
Wine - White, French Cross #(564182609212936622);$9.94;1/29/2023
Oven Mitts 17 Inch #(3533031776019379);$19.34;3/8/2023
Ecolab - Lime - A - Way 4/4 L #();$133.54;3/5/2023
Pectin #();$161.30;1/1/2023
Glass Clear 7 Oz Xl #(30391225216651);$150.39;12/22/2022
Water - Perrier #(3537183992998492);$69.36;1/21/2023
Crab - Back Fin Meat, Canned #(337941201512372);$169.26;12/13/2022
Water - Perrier #(3537183992998492);$69.36;1/21/2023
Tomato - Green #(4917759028395791);$152.59;12/1/2022
Fish - Base, Bouillion #(4405961853673438);$32.41;2/14/2023
Coffee - Irish Cream #(676144027396138320);$198.02;12/29/2022
Gin - Gilbeys London, Dry #(4844129052020095);$118.88;12/17/2022
Bread Base - Toscano #();$156.99;12/23/2022
Potatoes - Purple, Organic #(œ∑´®†¥¨ˆøπ“‘);$143.37;3/5/2023
Chocolate Eclairs #(˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥);$46.32;2/3/2023
Rice - Long Grain #(3534531782983954);$195.41;12/2/2022
Cheese - Blue #(4175007174270195);$176.45;3/3/2023
Cake - Lemon Chiffon #(5100178633158391);$51.82;2/15/2023
Juice - Orangina #(30422695233882);$91.40;12/8/2022
Sprite, Diet - 355ml #(4903719830503257845);$189.12;12/6/2022
Wine - White, Chardonnay #(3581638129851349);$26.37;2/12/2023
Coffee - Cafe Moreno #(3579595343651539);$110.02;11/25/2022
Mountain Dew #(374288496255711);$53.74;11/27/2022
Bread - Corn Muffaleta Onion #(4405271815284518);$176.27;2/9/2023
Jam - Apricot #(6761087836242701179);$16.53;1/12/2023
Cornstarch #(-1/2);$128.97;11/26/2022
Crab - Back Fin Meat, Canned #(3547828234587077);$172.34;11/29/2022
Sugar - Invert #(3576059642343416);$155.68;11/26/2022
Plate Pie Foil #(564182326532297755);$37.47;2/5/2023
Banana - Green #(5473754032463795);$94.56;2/12/2023
Seaweed Green Sheets #();$171.21;2/12/2023
Venison - Striploin #(5602222458020873);$154.16;1/17/2023
Sambuca - Opal Nera #(3531109437578082);$106.63;3/6/2023
Galliano #(4913343890290663);$154.29;
Milk - Buttermilk #(3550208634010117);$162.80;12/17/2022
Wine - Red, Antinori Santa #(‪‪test‪);$197.20;1/14/2023
Beef - Striploin Aa #(3537834170480543);$164.36;12/24/2022
Pasta - Cheese / Spinach Bauletti #(3587234781985452);;1/4/2023
Apple - Delicious, Golden #(3580069913557366);$128.21;12/15/2022
Tart - Raisin And Pecan #(561059827304746404);$43.85;12/27/2022
Water - Spring 1.5lit #(3532264574424084);$138.31;1/1/2023
Lotus Rootlets - Canned #(3536785379903589);$139.92;3/6/2023
Basil - Seedlings Cookstown #(3560278976558955);$2.64;2/7/2023
Bagel - Whole White Sesame #(5602259028299751);$25.14;2/24/2023
Lamb - Ground #(3541213365678134);$0.71;11/30/2022
Sherbet - Raspberry #(4041598206002863);;11/23/2022
Veal - Leg, Provimi - 50 Lb Max #();$169.50;1/2/2023
Wine - Lou Black Shiraz #(6395287628973698);$123.79;1/4/2023
Cookies - Englishbay Oatmeal #(3536256412054475);$184.40;12/24/2022
Ocean Spray - Kiwi Strawberry #();$159.31;12/23/2022
Emulsifier #(490320260608872814);$126.09;1/28/2023
Cake - Night And Day Choclate #(56022535244914165);$9.88;2/21/2023
Cups 10oz Trans #(374622631176475);$44.72;12/29/2022
Coffee Swiss Choc Almond #(6304490701987482);$144.57;1/2/2023
Beer - Blue #(372301436435608);$8.46;12/22/2022
Juice - Orangina #(30422695233882);$91.40;12/8/2022
Yukon Jack #(493625039904177672);$76.43;12/14/2022
Red Snapper - Fresh, Whole #(5100170068104008);$108.55;12/22/2022
Pop - Club Soda Can #(676722634470755471);$75.30;11/29/2022
Fenngreek Seed #(3537213404383510);$47.30;1/26/2023
Lamb - Shanks #();$26.88;12/1/2022
Salt - Seasoned #(5222140977354807);$37.26;12/3/2022
Cheese - Cheddar, Old White #(4917482809611506);$72.04;1/12/2023
Sugar - Palm #(67618319342455109);$85.67;2/7/2023
Kale - Red #(3566923651508528);$108.80;1/14/2023
Wine - White, Colubia Cresh #(6762990155591274918);$131.09;1/9/2023
Beef - Ox Tail, Frozen #(3568194968865914);$197.18;1/15/2023
Steam Pan - Half Size Deep #(30040699211918);$54.89;12/20/2022
Bread - White Mini Epi #(56022268124444372);$67.32;12/12/2022
Bread - Rosemary Focaccia #(560224566099526751);;1/20/2023
Flower - Commercial Bronze #(564182327494432414);$171.85;1/3/2023
;$135.11;2/13/2023
Pop - Club Soda Can #(5108754406751927);$132.52;1/31/2023
Vaccum Bag 10x13 #(201716179036858);$117.45;1/26/2023
Cookie - Oreo 100x2 #(3536997332582869);$134.99;11/25/2022
Appetizer - Tarragon Chicken #(3540950538879104);$39.65;2/16/2023
Lettuce - California Mix #(56022322652300892);$167.23;12/31/2022
Mace #(,。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’);$62.68;2/15/2023
Table Cloth 72x144 White #('');$181.82;11/28/2022
Carrots - Mini, Stem On #(3528799150703530);$91.94;12/6/2022
Onions - Pearl #(4260147852141098);$109.83;2/20/2023
Shrimp - Baby, Cold Water #(₀₁₂);$149.64;11/23/2022
Chilli Paste, Hot Sambal Oelek #(4936463115594544097);$41.66;11/28/2022
Glycerine #(4405260617672467);$38.29;2/13/2023
Capers - Pickled #(3581837436898874);$173.83;12/16/2022
Cheese - Pied De Vents #(6393342239179409);$146.18;2/16/2023
Sugar - Sweet N Low, Individual #((｡◕ ∀ ◕｡));$89.07;1/23/2023
Juice - Pineapple, 48 Oz #(30261657123164);$90.83;1/16/2023
;$129.66;3/4/2023
Veal - Loin #();$58.89;12/21/2022
Plums - Red #(6382862421958057);$90.89;1/12/2023
Banana Turning #(5438673183277602);$51.07;1/18/2023
Rice - Long Grain #(3534531782983954);$195.41;12/2/2022
Water - Perrier #(3537183992998492);$69.36;1/21/2023
Beer - Maudite #(4844043632626539);$12.06;11/29/2022
Bread - Pain Au Liat X12 #(3568470640872761);$145.41;12/19/2022
Appetizer - Shrimp Puff #(5602227667292072);$10.56;3/8/2023
Flax Seed #(œ∑´®†¥¨ˆøπ“‘);$122.69;3/16/2023
Banana - Green #(5473754032463795);$94.56;2/12/2023
Cloves - Whole #(3579478848473925);$45.15;1/21/2023
Oven Mitt - 13 Inch #(3544630388041403);$173.26;12/19/2022
Pate - Cognac #(30409738116844);$66.34;1/26/2023
Wanton Wrap #(3582660861637818);$101.99;11/29/2022
Pastry - Plain Baked Croissant #(30423014817314);$93.51;12/24/2022
Shrimp - Black Tiger 8 - 12 #(3539841640347903);$166.49;12/25/2022
Bar Nature Valley #(3556288378017894);$12.00;1/26/2023
Juice - Orangina #(30422695233882);$91.40;12/8/2022
Tomato - Green #(1.00);$126.82;2/24/2023
Liners - Banana, Paper #(3574091552943267);$77.47;3/7/2023
Ginger - Crystalized #(5602210067636201769);$162.82;3/13/2023
Lotus Rootlets - Canned #(3569427336963782);$96.00;1/8/2023
Soup - Campbells Beef Noodle #(677129680989826698);$145.38;12/13/2022
Oats Large Flake #(374288164963810);$31.15;
Cheese - Mozzarella #(3535839022168578);$110.41;2/15/2023
Chocolate - Feathers #(3565254187582832);$44.16;12/17/2022
Grapes - Black #(1/0);$177.55;1/9/2023
"Icecream - Dstk Strw Chseck #( test )";$136.36;2/17/2023
Crab - Back Fin Meat, Canned #(3547828234587077);$172.34;11/29/2022
Cookie Dough - Chocolate Chip #(4903607566223907);$171.33;11/30/2022
Turkey - Oven Roast Breast #(337941083012079);$113.61;1/29/2023
Plate Pie Foil #(564182326532297755);$37.47;2/5/2023
Beef - Ox Tail, Frozen #(3568194968865914);$197.18;1/15/2023
Table Cloth 54x72 White #(3571054985912518);$36.15;1/25/2023
Wine - Two Oceans Cabernet #();$155.02;12/14/2022
Dill Weed - Dry #(3581529040028713);$39.85;2/6/2023
Wine - Maipo Valle Cabernet #(5018973219982375);$180.98;1/24/2023
Rice - Sushi #(4844453624537240);$133.27;12/11/2022
Soup - Chicken And Wild Rice #();$185.75;3/6/2023
Beans - Black Bean, Preserved #(6386453506462599);$45.78;
Wine - Magnotta - Pinot Gris Sr #(372301115380125);;12/25/2022
Capers - Pickled #(3581837436898874);$173.83;12/16/2022
External Supplier #(3537361416368944);$70.08;1/9/2023
Cherries - Bing, Canned #();$59.22;3/9/2023
Chervil - Fresh #(5007663911444880);$96.25;3/14/2023
"Bread - Wheat Baguette #(1;DROP TABLE users)";$166.80;11/29/2022
Chips Potato Salt Vinegar 43g #(490515680500796727);$77.39;12/10/2022
;$60.77;2/20/2023
Dawn Professionl Pot And Pan #(374283781373907);$82.60;1/13/2023
Steampan - Foil #(67060015622908642);$25.24;2/28/2023
Turnip - Wax #(3558481955855921);$141.43;12/29/2022
Cape Capensis - Fillet #(3582795109303441);$189.72;1/9/2023
Yogurt - Blueberry, 175 Gr #(3530948887575820);$162.28;11/25/2022
Cheese - Goat #(4903388030782474878);$87.99;1/1/2023
Cabbage - Green #(4905807920479780025);$165.96;12/4/2022
Pork - Bacon, Sliced #(5535828374659149);$172.45;3/17/2023
Beer - Blue #(372301436435608);$8.46;12/22/2022
Sprouts - Alfalfa #(5100137000608263);$184.93;3/7/2023
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Wine - Hardys Bankside Shiraz #(3566315255886659);$119.14;2/3/2023
Scallops - In Shell #(3532118129086972);$5.09;12/24/2022
Sugar Thermometer #(501811570978546875);$91.34;2/21/2023
Wine - Fat Bastard Merlot #(3535462145207288);$154.14;1/13/2023
Straws - Cocktale #(3560612159914785);$122.16;12/13/2022
Steampan Lid #(5602240065812219);$80.47;11/28/2022
